,regime_state,regime_label,P_Bull,P_Neutral,P_Bear
2008-09-02,2,Bear,0.00019691948484435224,0.0004431337807409335,0.9993599467339778
2008-09-03,2,Bear,3.7533615826802226e-06,0.00024208154767816332,0.9997541650898988
2008-09-04,2,Bear,9.50403370042137e-09,2.840336531696617e-07,0.9999997064624471
2008-09-05,2,Bear,6.885837455353032e-07,2.6361276418069825e-06,0.9999966752894368
2008-09-08,2,Bear,2.9593632553754733e-07,1.3477303927277827e-05,0.999986226759839
2008-09-09,2,Bear,1.2472478398951922e-09,6.05170867338904e-08,0.9999999382362167
2008-09-10,2,Bear,1.0443519866731884e-08,4.169795707425481e-07,0.9999995725775993
2008-09-11,2,Bear,9.053374565328828e-09,3.570560232714216e-07,0.9999996338902507
2008-09-12,2,Bear,1.4114537737491752e-09,6.053090530271753e-08,0.9999999380579557
2008-09-15,2,Bear,1.2191759340154814e-15,1.0305213294438836e-13,1.0
2008-09-16,2,Bear,6.789955334627646e-13,3.565978426767251e-11,0.9999999999636202
2008-09-17,2,Bear,2.3476971396709655e-20,2.5867387451963038e-18,1.0
2008-09-18,2,Bear,1.3209022932467539e-15,9.56660604287228e-14,1.0
2008-09-19,2,Bear,3.0700019681692004e-15,1.4888230458382385e-13,1.0
